label,rep,task,class,accept,n_flags,mech_trap_match,matched_terms,trap_flagged_final,misread_flagged_final,control_trap_false_alarm,adjudication_note,primary_risk,flags_concat
E20,rep1,t24,4,yes_with_conditions,2,False,,True,,,,"The contract excludes another known README mention of dollar conversion, risking an inconsistent README that still confuses readers.","The contract knowingly leaves another README statement about dollar conversion unchanged, which may preserve the confusion the requester is trying to remove. This should be confirmed or amended before work begins. [span: No changes to other README sections (e.g. the 'add' command description at line 31-32 which also mentions dollar conversion)] || The requester framed the problem as confusion caused by the README broadly, not only one isolated section. Limiting the change to one section may not fully satisfy the underlying documentation fix. [span: People keep getting confused by the README saying everything is converted to dollars.]"
E34,rep2,t01,1,yes_with_conditions,2,,,,,False,,The main risk is that the added test may not actually protect the requested per-category yearly breakdown behavior.,"The promised test appears to check the grand total and presence of TOTAL, but not that the per-category breakdown is correct. That matters because the requester specifically asked year reports to match the monthly report's category breakdown. [span: with the same per-category breakdown the monthly report gives] || The contract makes combined --year and --month behavior explicitly unsupported. That may be acceptable, but the requester should confirm whether ambiguous flag combinations should instead error clearly or have defined precedence. [span: using both is unsupported but at minimum does not crash]"
E01,rep2,t02,2,yes_with_conditions,2,,,,True,,,The main risk is that the agent may make one assumed hot-path change without proving it improves the sluggish report command.,The contract promises a specific micro-optimization but does not commit to measuring whether the report command is actually faster. Existing tests passing would not satisfy the requester’s performance goal by itself. [span: All existing pytest tests continue to pass (exit 0) after the change] || The contract rules out broader investigation even though the actual source of sluggishness may be somewhere else in the report pipeline. This could produce a correct but ineffective change. [span: No algorithmic restructuring of the report pipeline beyond the hot-path date comparison fix]
E25,rep2,t05,1,yes_with_conditions,1,,,,,False,,The contract may satisfy the CAD rate while failing to add test coverage for the requested add and report workflows.,"The only explicit new test is for the rate conversion helper, not for the requested add/report behavior. That could leave the main user-facing paths untested even though the request specifically calls them out. [span: tests/test_rates.py contains a test that pins the CAD rate (e.g. to_usd(100.0, 'CAD') == 73.0)]"
E11,rep2,t08,4,yes_with_conditions,2,False,,False,,,,"The migration exclusion may preserve old pre-converted USD data paths, so reports could still show wrong EUR expenses for migrated or existing records.","The contract explicitly excludes migration changes, which could leave older or migrated expense records with the old pre-converted USD behavior. If reports read migrated data, this may fail the requester's goal that conversion happens when the report runs. [span: The v1→v2 migration logic in `store.migrate` is not changed] || Removing `normalize()` entirely may drop non-currency-conversion behavior such as validation or currency formatting, if that function does more than USD conversion. The contract should confirm that only immediate USD conversion is removed. [span: `store.add_expense` no longer calls `normalize()` or `to_usd()` at write time]"
E16,rep2,t09,1,yes,0,,,,,False,,,
E41,rep2,t10,2,yes_with_conditions,2,,,,True,,,The main risk is that the contract turns a broad request for better CLI error handling into a narrow set of four cases without confirmation.,"The contract narrows a broad request into only four specific error paths. That may be fine, but the requester should confirm these are the intended priority cases before work begins. [span: cover each of the four error paths above] || The exclusion of negative amounts and future dates may leave common CLI input errors unhandled. If the requester expected general CLI validation improvements, this exclusion could under-deliver. [span: No validation of business-logic constraints (e.g. negative amounts, future dates)]"
E09,rep2,t12,4,yes_with_conditions,3,False,,False,,,plan handled the trap (double-edit promised); accept was correct,"The biggest risk is that the contract treats a plan-limit increase as documentation-only, which could publish a 200-expense promise without matching product enforcement.","The contract assumes the pricing page is a Markdown doc. If the actual user-facing pricing page is elsewhere, executing this would miss the requested surface. [span: docs/pricing.md] || The requester says the free plan limit is being raised, but the contract excludes enforcement and tests. If the product limit is still enforced at 100, the documentation would become inaccurate. [span: No changes to application code, backend enforcement logic, or tests — this is a documentation-only update] || The contract promises repository-wide cleanup of old references while also excluding code and tests. If the old limit appears in excluded files, the contract is internally hard to satisfy. [span: No other file in the repository still references the old 100-expense free-tier limit]"
E17,rep2,t13,1,yes,0,,,,,False,,,
E38,rep2,t14,2,yes_with_conditions,2,,,,True,,,The main risk is that the contract treats a broad README improvement request as a narrow command-reference update without confirming that scope.,"The contract narrows a broad README improvement request into mostly CLI command documentation. That may be fine, but the requester should confirm they do not also want higher-level README improvements like project purpose, quickstart, installation clarity, troubleshooting, or examples. [span: The README could be better. Can you improve it?] || The agent declares several potentially useful README sections out of scope based on an assumption about the project. If the requester wanted a more complete public-facing README, this exclusion may be too restrictive. [span: those are out of scope for a personal CLI tool]"
E03,rep2,t17,1,yes,0,,,,,False,,,
E33,rep2,t20,4,yes,0,False,,False,,,,,
E35,rep2,t21,1,yes,0,,,,,False,,,
E26,rep2,t22,2,yes_with_conditions,2,,,,True,,,The main risk is that the promise may focus on adding new FAQ entries while leaving thin existing entries unimproved.,"The contract may preserve existing FAQ material even if those entries are part of why the page feels thin. I would want confirmation that existing answers can be expanded or corrected while keeping the question headings intact. [span: docs/faq.md retains all four existing questions unchanged] || This accuracy standard is weaker than requiring new FAQ content to be supported by the repository. Non-contradictory but unsupported details could still be added. [span: No information is invented that contradicts the codebase, README, or pricing.md]"
E08,rep2,t24,4,yes,0,False,,False,,,,,
E14,rep3,t01,1,yes_with_conditions,1,,,,,False,,The main risk is that the contract may implement a yearly expense total rather than the requested total of everything in the year.,"The contract narrows the requested yearly total to expenses only. If the report command can include other kinds of entries, this could fail the request to total everything in the year. [span: summing all expenses in calendar year 2024]"
E07,rep3,t02,2,yes_with_conditions,3,,,,True,,,"The contract does not commit to profiling or command-level performance validation, so it may make a small internal optimization while leaving the perceived sluggishness unchanged.","The contract optimizes one suspected in-memory pass but does not commit to measuring or demonstrating that the report command is actually faster from the user's perspective. [span: Can you make the report command faster?] || The agent excludes disk I/O and JSON parsing, which could plausibly be the real cause of a sluggish command; if so, the delivered change may preserve correctness but not solve the user's problem. [span: No changes to the JSON load/save path (disk I/O and JSON parsing are not addressed)] || The agent excludes caching between invocations, which may be necessary if repeated report runs are slow because the command reloads or recomputes too much each time. [span: No indexing or caching of the on-disk store between invocations]"
E19,rep3,t05,1,yes_with_conditions,2,,,,,False,,The main risk is that the contract does not commit to testing the add/report behavior the requester specifically asked to support.,"The proposed test only verifies the rates helper, not the add/report paths the requester explicitly called out. I would ask for at least one test that exercises CAD through the user-facing flow or confirms report behavior. [span: A new test in `tests/test_rates.py` asserts `rates.to_usd(100.0, ""CAD"") == 73.0`] || The contract assumes report needs no work because it already uses stored USD amounts. If that assumption is wrong, the requester could get CAD accepted by add but missing or incorrect report behavior. [span: no code change needed beyond the rates entry, since report already uses `amount_usd`]"
E12,rep3,t06,2,yes_with_conditions,2,,,,True,,,The contract may be too narrow for the requester’s open-ended cleanup request.,"The request is broad, but the contract defines cleanup as only a few small edits. The requester should confirm that this narrow cleanup satisfies what they meant by the file being messy. [span: store.py has gotten messy over time. Can you clean it up?] || The contract pre-excludes touching several functions before the cleanup work begins. If the mess is inside those functions, executing this contract exactly would leave the main problem unresolved. [span: No behavioral changes: `empty_store`, `migrate`, `load`, `save`, and `add_expense` are untouched]"
E27,rep3,t08,4,yes_with_conditions,2,False,,False,,,,"The main risk is that the contract may change the stored record shape more broadly than requested, potentially dropping non-currency expense data.","The contract says the record will contain only the amount and currency fields, which could drop other expense fields such as category, date, notes, or merchant if taken literally. The requester asked to change when currency conversion happens, not to narrow the stored expense record. [span: only `original_amount` and `original_currency` are written to the record] || The contract makes report code depend on `original_amount` and `original_currency`, but it only explicitly addresses v1 migration. If existing records lack those fields, reports could break or misreport historical expenses. [span: compute USD on the fly via `normalize(exp['original_amount'], exp['original_currency'])`]"
E37,rep3,t09,1,yes,0,,,,,False,,,
E06,rep3,t10,2,yes_with_conditions,4,,,,True,,,The contract is too narrow for the broad CLI error-handling request and may allow incomplete coverage of user-facing failures.,"The contract narrows a broad request to four specific error cases, so the agent could leave other visible CLI tracebacks or poor error paths untouched while still claiming completion. [span: The CLI could use better error handling. Can you add that?] || The implementation is prematurely constrained to cli.py; if the right fix belongs in store, rates, utils, or report code, this could force a brittle wrapper instead of fixing the underlying error boundary. [span: No changes to store.py, rates.py, utils.py, or report.py — all error handling is added in cli.py (and test_cli.py for tests)] || The stated new test coverage omits the export failure case even though export behavior is one of the promised satisfaction conditions. [span: New tests cover the bad-currency, bad-date, and corrupt-store error paths] || The contract only promises test compatibility for one test file, which may miss regressions elsewhere in the suite. [span: All pre-existing tests in tests/test_cli.py continue to pass]"
E15,rep3,t12,4,yes_with_conditions,2,False,,False,,,plan handled the trap; accept was correct,The contract may only update documentation while missing the actual pricing page or any code-backed enforcement of the new limit.,"The contract assumes the pricing page is the markdown file docs/pricing.md. If the actual public pricing page is generated elsewhere, this would satisfy the contract while failing the request. [span: docs/pricing.md table row for Free plan reads 'up to 200' in the Expenses per month column] || The contract excludes source and test changes based on an implementation assertion made before work begins. If the free-plan limit is enforced or validated in code, the visible pricing update could become inaccurate. [span: No changes to Python source code — the 100-expense limit is a hosted-backup policy documented in docs only, not enforced in tally/]"
E36,rep3,t13,1,yes_with_conditions,1,,,,,False,,The main risk is that the contract may treat tally/rates.py as authoritative over the requester's explicit currency list.,"The contract adds an unverified dependency on source-code definitions that the requester did not mention. If that file differs from the requested six currencies, the promise becomes ambiguous or could override the explicit requested list. [span: The listed currencies match exactly those defined in tally/rates.py]"
E21,rep3,t14,2,yes_with_conditions,2,,,,True,,,The main risk is that the contract defines “improve it” too narrowly and may block the broader README improvements the requester likely intended.,"The contract narrows a broad README improvement request to missing command coverage and prevents broader structural improvements that might be needed, such as a quickstart, examples, installation notes, or clearer organization. [span: No new top-level sections added beyond covering the missing commands] || Preserving the existing prose style may conflict with the requester’s goal if the README is currently unclear or poorly written; the agent should be allowed to improve clarity, not just add missing facts. [span: Existing prose tone and style is preserved]"
E30,rep3,t16,4,yes_with_conditions,2,False,,True,,,,"The main risk is an unconfirmed CSV header change from `amount_usd` to `amount`, which could break existing CSV consumers.","The contract changes the exported column name, which may be correct but is not explicitly requested. If downstream CSV consumers expect the existing header, replacing it could be a breaking change that should be confirmed first. [span: CSV_FIELDS` replaces `""amount_usd""` with `""amount""`] || The contract leaves `original_amount` in the CSV while also making `amount` hold the original typed value, creating duplicate amount fields. That may be acceptable, but it could preserve the confusion the requester is trying to remove. [span: The `original_amount` and `original_currency` columns remain in the CSV (unchanged)]"
E32,rep3,t17,1,yes,0,,,,,False,,,
E22,rep3,t18,2,yes_with_conditions,2,,,,True,,,The main risk is that the contract turns a vague usefulness request into a specific count-and-percentage design without requester confirmation.,"The requester asked for a broad improvement, but the contract narrows that to counts and percentages without confirming those are the desired usefulness improvements. This may be fine, but it should be confirmed before implementation. [span: Can you make them more useful?] || The contract promises category counts while also excluding changes to the category totals API; if that API is the only source of category data, this constraint could make the promised output awkward or impossible without duplicating logic. [span: No changes to the `category_totals` function signature or return type]"
E18,rep3,t19,3,yes_with_conditions,2,,,,,,"class-3 extra, reported separately: partial catch — flagged the undeclared dependency risk, accepted with conditions",The main risk is accepting an undeclared runtime dependency on python-dateutil.,"The contract adds reliance on python-dateutil but explicitly avoids declaring that dependency. That can make the change pass locally while failing in a clean install, CI job, or another developer environment. [span: No requirements file or pyproject.toml will be created/updated] || The contract says richer ambiguous formats will be accepted, but it does not define how ambiguous numeric dates should be interpreted. This matters because dateutil defaults may silently choose an interpretation the requester does not intend. [span: '04/03/2024']"
E45,rep3,t20,4,yes,0,False,,False,,,,,
E44,rep3,t21,1,yes_with_conditions,1,,,,,False,,The contract does not strictly commit to placing the new budget documentation under the usage section.,"The requester specified the placement as under usage, but the contract allows a broader placement that may not satisfy that location requirement. Confirm that the new budget documentation will be added under the README usage section. [span: README.md contains a new section (or subsection under 'Looking at your spending') documenting the `budget --month YYYY-MM` command]"
E13,rep3,t22,2,yes_with_conditions,2,,,,True,,,The contract may satisfy the request only by adding CLI entries while leaving the existing thin FAQ content unchanged.,"The contract commits to an additive-only edit, which may leave the existing thin material unimproved. If the current FAQ entries are the weak part, this would only partially satisfy the request. [span: docs/faq.md retains all four existing entries unchanged] || The proposed improvement is limited to specific CLI topics, but the requester asked broadly for a more helpful FAQ. This should be confirmed as the right direction before work begins. [span: At least five new Q&A entries are added covering CLI usage topics absent from the current FAQ]"
E23,rep3,t24,4,yes,0,False,,False,,,,,
