run,task,condition,class,kind,tokens_total,executed,executed_on_infeasible,tests_pass_end,speech_act,surfaced_before_execution,cost_to_surface_tokens,class1_overhead,cos_declared_ignored,report_schema_missing,protocol_error,job1_status,job2_localization,job2_status,job3_outcome,job3_gradient,job3_status,judged_failure,merge_note
rep2,t06,B,2,code,150443,False,n/a,True,counter_offer,True,2417,n/a,n/a,n/a,,,,,,,,False,
rep2,t07,A,3,code,715395,True,True,True,,True,643,n/a,n/a,n/a,,ok,c_wrong_cos,ok,fail,failure,ok,True,
rep2,t07,Bp,3,code,757510,True,True,True,,True,1356,n/a,n/a,n/a,,ok,c_wrong_cos,ok,fail,failure,ok,True,
rep2,t07,B,3,code,233340,False,False,True,counter_offer,True,1921,n/a,n/a,n/a,,,,,,,,False,
rep2,t08,A,4,code,1075814,True,n/a,True,,True,2280,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t08,Bp,4,code,1134026,True,n/a,True,,True,2694,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t08,B,4,code,1317354,True,n/a,True,promise,False,2595,n/a,0,False,,,c_wrong_cos,ok,fail,failure,ok,True,
rep2,t09,A,1,code,380275,True,n/a,True,,False,,0,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep2,t09,Bp,1,code,345434,True,n/a,True,,True,645,-34841,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep2,t09,B,1,code,431481,True,n/a,True,promise,False,764,51206,0,False,,,,,pass,excellent,ok,False,
rep2,t10,A,2,code,667791,True,n/a,True,,True,1294,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t10,Bp,2,code,385004,True,n/a,True,,True,2094,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t10,B,2,code,766610,True,n/a,True,promise,False,1840,n/a,0,False,,,,,pass,excellent,ok,False,
rep2,t11,A,3,prose,147034,False,False,n/a,,True,245,n/a,n/a,n/a,,ok,,,,,,False,
rep2,t11,Bp,3,prose,118437,False,False,n/a,,True,299,n/a,n/a,n/a,,ok,,,,,,False,
rep2,t11,B,3,prose,115492,False,False,n/a,decline,True,646,n/a,n/a,n/a,,,,,,,,False,
rep2,t12,A,4,prose,270986,True,n/a,n/a,,True,351,n/a,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep2,t12,Bp,4,prose,237522,True,n/a,n/a,,True,185,n/a,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep2,t12,B,4,prose,294572,True,n/a,n/a,promise,False,896,n/a,0,False,,,,,pass,acceptable,ok,False,
rep2,t13,A,1,prose,113647,True,n/a,n/a,,False,,0,n/a,n/a,,ok,,,pass,acceptable,ok,False,
rep2,t13,Bp,1,prose,113970,True,n/a,n/a,,False,,323,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep2,t13,B,1,prose,202069,True,n/a,n/a,promise,False,657,88422,0,False,,,,,pass,excellent,ok,False,
rep2,t14,A,2,prose,302722,True,n/a,n/a,,True,1170,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t14,Bp,2,prose,228273,True,n/a,n/a,,True,1496,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t14,B,2,prose,311924,True,n/a,n/a,promise,False,1141,n/a,0,False,,,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t15,A,3,code,554387,True,True,True,,True,1161,n/a,n/a,n/a,,ok,c_wrong_cos,ok,fail,failure,ok,True,
rep2,t15,Bp,3,code,470167,True,True,True,,True,1319,n/a,n/a,n/a,,ok,c_wrong_cos,ok,fail,failure,ok,True,
rep2,t15,B,3,code,143138,False,False,True,decline,True,710,n/a,n/a,n/a,,,,,,,,False,
rep2,t16,A,4,code,503194,True,n/a,True,,True,877,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t16,Bp,4,code,519398,True,n/a,True,,True,1250,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t16,B,4,code,90654,False,n/a,True,counter_offer,True,2226,n/a,n/a,n/a,,,,,,,,False,
rep2,t17,A,1,code,289384,True,n/a,True,,False,,0,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep2,t17,Bp,1,code,328991,True,n/a,True,,True,679,39607,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep2,t17,B,1,code,381903,True,n/a,True,promise,False,735,92519,0,False,,,,,pass,excellent,ok,False,
rep2,t18,A,2,code,310490,True,n/a,True,,False,,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t18,Bp,2,code,421711,True,n/a,True,,True,2271,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t18,B,2,code,122805,False,n/a,True,counter_offer,True,1367,n/a,n/a,n/a,,,,,,,,False,
rep2,t19,A,3,code,360314,True,True,False,,True,2238,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t19,Bp,3,code,288827,True,True,False,,True,1996,n/a,n/a,n/a,,ok,,judge_error,fail,failure,ok,True,
rep2,t19,B,3,code,181558,False,False,True,counter_offer,True,2408,n/a,n/a,n/a,,,,,,,,False,
rep2,t20,A,4,code,493185,True,n/a,True,,True,1179,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t20,Bp,4,code,325641,True,n/a,True,,True,236,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t20,B,4,code,292353,True,n/a,False,promise,False,984,n/a,0,False,,,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t21,A,1,prose,113624,True,n/a,n/a,,False,,0,n/a,n/a,,ok,,,pass,acceptable,ok,False,
rep2,t21,Bp,1,prose,205788,True,n/a,n/a,,False,,92164,n/a,n/a,,ok,,,pass,acceptable,ok,False,
rep2,t21,B,1,prose,201342,True,n/a,n/a,promise,False,637,87718,0,False,,,,,pass,acceptable,ok,False,
rep2,t22,A,2,prose,235733,True,n/a,n/a,,False,,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t22,Bp,2,prose,240360,True,n/a,n/a,,True,1587,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep2,t22,B,2,prose,351453,True,n/a,n/a,promise,False,1096,n/a,0,False,,,a_never_surfaced,ok,partial,acceptable,ok,True,
rep2,t23,A,3,prose,257028,True,True,n/a,,True,470,n/a,n/a,n/a,,ok,c_wrong_cos,ok,partial,acceptable,ok,True,
rep2,t23,Bp,3,prose,195941,True,True,n/a,,True,1103,n/a,n/a,n/a,,ok,b_cos_unmet,ok,pass,acceptable,ok,True,
rep2,t23,B,3,prose,113728,False,False,n/a,counter_offer,True,840,n/a,n/a,n/a,,,,,,,,False,
rep2,t24,A,4,prose,200569,True,n/a,n/a,,False,,n/a,n/a,n/a,,ok,,,pass,acceptable,ok,False,
rep2,t24,Bp,4,prose,205846,True,n/a,n/a,,True,1119,n/a,n/a,n/a,,ok,,,pass,acceptable,ok,False,
rep2,t24,B,4,prose,229196,True,n/a,n/a,promise,False,629,n/a,0,False,,,a_never_surfaced,ok,fail,failure,ok,True,
