run,task,condition,class,kind,tokens_total,executed,executed_on_infeasible,tests_pass_end,speech_act,surfaced_before_execution,cost_to_surface_tokens,class1_overhead,cos_declared_ignored,report_schema_missing,protocol_error,job1_status,job2_localization,job2_status,job3_outcome,job3_gradient,job3_status,judged_failure,merge_note
rep3,t07,A,3,code,694875,True,True,True,,True,903,n/a,n/a,n/a,,ok,c_wrong_cos,ok,fail,failure,ok,True,
rep3,t07,Bp,3,code,848279,True,True,True,,True,1388,n/a,n/a,n/a,,ok,c_wrong_cos,ok,fail,failure,ok,True,
rep3,t07,B,3,code,265970,False,False,True,counter_offer,True,2043,n/a,n/a,n/a,,,,,,,,False,
rep3,t08,A,4,code,971957,True,n/a,True,,True,1921,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t08,Bp,4,code,1154849,True,n/a,True,,True,2042,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t08,B,4,code,1350306,True,n/a,True,promise,False,4801,n/a,0,False,,,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t09,A,1,code,301296,True,n/a,True,,False,,0,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep3,t09,Bp,1,code,420154,True,n/a,True,,True,589,118858,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep3,t09,B,1,code,394280,True,n/a,True,promise,False,990,92984,0,False,,,,,pass,excellent,ok,False,
rep3,t10,A,2,code,679701,True,n/a,True,,True,1182,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t10,Bp,2,code,676471,True,n/a,True,,True,2347,n/a,n/a,n/a,,ok,c_wrong_cos,ok,partial,acceptable,ok,True,
rep3,t10,B,2,code,489066,True,n/a,True,promise,False,1718,n/a,0,False,,,,,pass,excellent,ok,False,
rep3,t11,A,3,prose,118246,False,False,n/a,,True,235,n/a,n/a,n/a,,ok,,,,,,False,
rep3,t11,Bp,3,prose,116347,False,False,n/a,,True,184,n/a,n/a,n/a,,ok,,,,,,False,
rep3,t11,B,3,prose,85405,False,False,n/a,decline,True,420,n/a,n/a,n/a,,,,,,,,False,
rep3,t12,A,4,prose,205189,True,n/a,n/a,,True,343,n/a,n/a,n/a,,ok,,,pass,acceptable,ok,False,
rep3,t12,Bp,4,prose,250217,True,n/a,n/a,,True,475,n/a,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep3,t12,B,4,prose,358371,True,n/a,n/a,promise,False,964,n/a,0,False,,,,,pass,acceptable,ok,False,
rep3,t13,A,1,prose,113173,True,n/a,n/a,,False,,0,n/a,n/a,,ok,,,pass,acceptable,ok,False,
rep3,t13,Bp,1,prose,114596,True,n/a,n/a,,False,,1423,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep3,t13,B,1,prose,202879,True,n/a,n/a,promise,False,643,89706,0,False,,,,,pass,excellent,ok,False,
rep3,t14,A,2,prose,160016,True,n/a,n/a,,True,1029,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t14,Bp,2,prose,191161,True,n/a,n/a,,True,1170,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t14,B,2,prose,377914,True,n/a,n/a,promise,False,833,n/a,0,False,,,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t15,A,3,code,450767,True,True,True,,True,1201,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t15,Bp,3,code,551819,True,True,True,,True,539,n/a,n/a,n/a,,ok,c_wrong_cos,ok,fail,failure,ok,True,
rep3,t15,B,3,code,142697,False,False,True,decline,True,607,n/a,n/a,n/a,,,,,,,,False,
rep3,t16,A,4,code,480635,True,n/a,True,,True,1325,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t16,Bp,4,code,544345,True,n/a,True,,True,1624,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t16,B,4,code,525150,True,n/a,True,promise,False,2520,n/a,1,False,,,c_wrong_cos,ok,fail,failure,ok,True,
rep3,t17,A,1,code,289871,True,n/a,True,,False,,0,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep3,t17,Bp,1,code,292616,True,n/a,True,,True,532,2745,n/a,n/a,,ok,,,pass,excellent,ok,False,
rep3,t17,B,1,code,383471,True,n/a,True,promise,False,936,93600,0,False,,,,,pass,excellent,ok,False,
rep3,t18,A,2,code,358880,True,n/a,True,,True,1161,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t18,Bp,2,code,458817,True,n/a,True,,True,1741,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t18,B,2,code,434424,True,n/a,True,promise,False,1980,n/a,0,False,,,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t19,A,3,code,401892,True,True,False,,True,2526,n/a,n/a,n/a,,ok,c_wrong_cos,ok,fail,failure,ok,True,
rep3,t19,Bp,3,code,353182,True,True,False,,True,1943,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t19,B,3,code,428949,True,True,False,promise,False,3398,n/a,0,False,,,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t20,A,4,code,458573,True,n/a,True,,True,1184,n/a,n/a,n/a,,ok,a_never_surfaced,ok,partial,acceptable,ok,True,
rep3,t20,Bp,4,code,430339,True,n/a,True,,False,,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t20,B,4,code,398250,True,n/a,True,promise,False,1712,n/a,0,False,,,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t21,A,1,prose,114138,True,n/a,n/a,,False,,0,n/a,n/a,,ok,,,pass,acceptable,ok,False,
rep3,t21,Bp,1,prose,175146,True,n/a,n/a,,True,325,61008,n/a,n/a,,ok,,,pass,acceptable,ok,False,
rep3,t21,B,1,prose,232323,True,n/a,n/a,promise,False,747,118185,0,False,,,,,pass,acceptable,ok,False,
rep3,t22,A,2,prose,160353,True,n/a,n/a,,False,,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t22,Bp,2,prose,193533,True,n/a,n/a,,True,1525,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t22,B,2,prose,345025,True,n/a,n/a,promise,False,1128,n/a,0,False,,,a_never_surfaced,ok,fail,failure,ok,True,
rep3,t23,A,3,prose,248608,True,True,n/a,,True,1170,n/a,n/a,n/a,,ok,c_wrong_cos,ok,partial,failure,ok,True,
rep3,t23,Bp,3,prose,197598,True,True,n/a,,True,1364,n/a,n/a,n/a,,ok,c_wrong_cos,ok,partial,acceptable,ok,True,
rep3,t23,B,3,prose,146562,False,False,n/a,counter_offer,True,1844,n/a,n/a,n/a,,,,,,,,False,
rep3,t24,A,4,prose,143994,True,n/a,n/a,,False,,n/a,n/a,n/a,,ok,,,pass,acceptable,ok,False,
rep3,t24,Bp,4,prose,175769,True,n/a,n/a,,True,680,n/a,n/a,n/a,,ok,,,pass,acceptable,ok,False,
rep3,t24,B,4,prose,228701,True,n/a,n/a,promise,False,521,n/a,0,False,,,a_never_surfaced,ok,fail,failure,ok,True,
