run,task,condition,class,kind,tokens_total,executed,executed_on_infeasible,tests_pass_end,speech_act,surfaced_before_execution,cost_to_surface_tokens,class1_overhead,cos_declared_ignored,report_schema_missing,protocol_error,job1_status,job2_localization,job2_status,job3_outcome,job3_gradient,job3_status,judged_failure,merge_note
rep1,t18,A,2,code,387783,True,n/a,True,,True,2100,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t18,Bp,2,code,400148,True,n/a,True,,True,3465,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t18,B,2,code,124134,False,n/a,True,counter_offer,True,1607,n/a,n/a,n/a,,,,,,,,False,
rep1,t19,A,3,code,279368,False,False,True,,True,4802,n/a,n/a,n/a,,ok,,,,,,False,
rep1,t19,Bp,3,code,327287,True,True,False,,True,2156,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t19,B,3,code,150846,False,False,True,counter_offer,True,2777,n/a,n/a,n/a,,,,,,,,False,
rep1,t20,A,4,code,431301,True,n/a,True,,True,1439,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t20,Bp,4,code,398095,True,n/a,True,,True,924,n/a,n/a,n/a,,ok,,,pass,acceptable,ok,False,
rep1,t20,B,4,code,430513,True,n/a,True,promise,False,1711,n/a,0,False,,,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t21,A,1,prose,113633,True,n/a,n/a,,True,196,0,n/a,n/a,,ok,,,pass,acceptable,ok,False,
rep1,t21,Bp,1,prose,237578,True,n/a,n/a,,False,,123945,n/a,n/a,,ok,,,pass,acceptable,ok,False,
rep1,t21,B,1,prose,203722,True,n/a,n/a,promise,False,675,90089,0,False,,,,,pass,acceptable,ok,False,
rep1,t22,A,2,prose,321514,True,n/a,n/a,,False,,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t22,Bp,2,prose,162700,True,n/a,n/a,,True,244,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t22,B,2,prose,350855,True,n/a,n/a,promise,False,1122,n/a,1,False,,,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t23,A,3,prose,194809,True,True,n/a,,True,254,n/a,n/a,n/a,,ok,c_wrong_cos,ok,partial,acceptable,ok,True,
rep1,t23,Bp,3,prose,190850,True,True,n/a,,True,1062,n/a,n/a,n/a,,ok,a_never_surfaced,ok,fail,failure,ok,True,
rep1,t23,B,3,prose,147278,False,False,n/a,counter_offer,True,1600,n/a,n/a,n/a,,,,,,,,False,
rep1,t24,A,4,prose,210552,True,n/a,n/a,,True,1101,n/a,n/a,n/a,,ok,,,pass,acceptable,ok,False,
rep1,t24,Bp,4,prose,238256,True,n/a,n/a,,True,1554,n/a,n/a,n/a,,ok,,,pass,acceptable,ok,False,
rep1,t24,B,4,prose,200296,True,n/a,n/a,promise,False,556,n/a,0,False,,,a_never_surfaced,ok,fail,failure,ok,True,
